,publishedAt,title,tags,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
27,2021-06-18,光天化日北市當街擄人！被害人成功脫逃,"['債務', '台北市', '後製中心', '採訪中心', '擄人']",udn video,1753,18,0,0,11
28,2021-06-18,總統會郭台銘、劉德音三方共識 疫苗原廠直送台灣,"['BNT疫苗', 'COVID-19', '劉德音', '台積電', '張惇涵', '影像中心', '後製中心', '新冠肺炎', '永齡基金會', '疫苗', '總統府', '蔡英文', '郭台銘']",udn video,1269,17,11,0,37
29,2021-06-18,萌娃打針超崩潰！忍淚比手勢為自己加油,"['udn tv', 'udntv', 'udn.com', '聯合新聞', '聯合影音', '聯合報', 'udnnews', 'myudn']",udn video,659,9,0,0,2
30,2021-06-18,終於來了！24萬劑莫德納到貨 效期至今年12/15,"['COVID-19', 'Moderna', '三級警戒', '影像中心', '後製中心', '新冠肺炎', '桃園機場', '疫苗', '莫德納', '華航']",udn video,754,13,1,0,4
31,2021-06-18,直播／0618蔡英文會見劉德音郭台銘後發言人轉述記者會,"['udn tv', '最新實況', '蔡英文', '劉德音', '郭台銘', '台積電', '鴻海永齡基金會', 'BNT疫苗採購捐贈']",udn video,1347,9,7,0,13
32,2021-06-18,未落實出入口管控 土城延吉街市場6/19起停業3天,"['COVID-19', '三級警戒', '侯友宜', '市場', '影像中心', '後製中心', '新冠肺炎', '新北', '火葬', '疫苗']",udn video,1656,19,2,0,0
33,2021-06-18,烏鴉喝水現實版！超聰明喜鵲投石順利喝到水,"['udn tv', 'udntv', 'udn.com', '聯合新聞', '聯合影音', '聯合報', 'udnnews', 'myudn']",udn video,672,15,0,0,0
34,2021-06-18,3+11疫情源頭？柯文哲：變種病毒不會從太空掉下來,"['3+11', 'COVID-19', '台北市', '影像中心', '後製中心', '政務官', '新冠肺炎', '柯文哲', '民進黨', '疫情', '疫苗', '英國變種病毒', '蔡英文']",udn video,3601,92,0,0,30
35,2021-06-18,0618蔡英文會見劉德音郭台銘後發言人轉述記者會,"['udn tv', '最新實況', '蔡英文', '劉德音', '郭台銘', '台積電', '鴻海永齡基金會', 'BNT疫苗採購捐贈']",udn video,6070,22,5,0,14
36,2021-06-18,4人擅闖合歡山武嶺亭 2男赤裸上身扭屁股自嗨,"['COVID-19', '三級警戒', '合歡山', '太管處', '後製中心', '採訪中心', '新冠肺炎', '武嶺亭', '疫情', '違規']",udn video,586,2,0,0,5
37,2021-06-18,0618蘇貞昌赴立院致意,"['udn tv', '即時直播', '蘇貞昌', '立法院', '紓困振興特別預算']",udn video,505,2,8,0,2
38,2021-06-18,0618立院第10屆第3會期第1次臨時會第2次會議 「紓困4.0特別預算案」,"['udn tv', '即時直播', '立法院', '紓困4.0特別預算案']",udn video,12559,96,47,0,63
39,2021-06-18,郭台銘買疫苗遭爆每劑42美元？陳時中：價格機密,"['BNT', '台積電', '影像中心', '後製中心', '新冠肺炎', '疫苗', '郭台銘', '陳時中']",udn video,1126,7,13,0,13
40,2021-06-18,郭台銘爭取BNT疫苗 柯建銘曝每劑42美元,"['BNT', '影像中心', '後製中心', '新冠肺炎', '柯建銘', '疫苗', '郭台銘']",udn video,4653,24,12,0,61
41,2021-06-18,0618柯文哲臺北市防疫因應記者會,"['udn tv', '即時直播', '柯文哲', '黃珊珊', '第三階段防疫計畫', '臺北市防疫因應記者會']",udn video,1871,42,0,0,0
42,2021-06-18,5移工下班揪友聚餐遭開罰 聽聞罰金都傻眼,"['COVID-19', '印尼', '後製中心', '採訪中心', '新冠肺炎', '疫情', '移工', '餐廳', '高雄']",udn video,740,9,1,0,3
43,2021-06-18,剛出港瞬間陷火海...基隆漁船大火 1消防員送醫,"['凱勝23號', '基隆', '後製中心', '採訪中心', '正濱漁港', '消防員', '漁船', '火警']",udn video,1259,11,1,0,0
44,2021-06-18,0618侯友宜新北市疫情第三級警戒應變會議記者會,"['udn tv', '即時直播', '侯友宜', '新北市', '疫情第三級警戒記者會']",udn video,2158,24,2,0,2
45,2021-06-18,0618全台第三級警戒 疫情指揮中心記者會,"['udntv', '即時直播', '新冠肺炎', '2019新型冠狀病毒', 'COVlD-19', '中央流行疫情指揮中心', '陳時中', '疫情', '防疫', '口罩', '居家檢疫', '疫苗施打', '群聚感染', '全台第三級警戒']",udn video,2629,5,3,0,2
46,2021-06-18,郭台銘求見蔡英文總統 永齡：今天下午就可以談,"['影像中心', '後製中心', '新冠肺炎', '疫苗', '蔡英文', '郭台銘']",udn video,2043,60,3,0,13
47,2021-06-18,行政院宣布 授權台積電.永齡洽購BNT疫苗,"['台積電', '影像中心', '後製中心', '新冠肺炎', '永齡基金會', '疫苗', '行政院', '郭台銘', '鴻海']",udn video,2063,40,7,0,28
48,2021-06-18,郵政基層怒摔獎章 工會籲政府將其納入第三類,"['COVID-19', '中華郵政', '台灣郵政產業工會', '影像中心', '後製中心', '新冠肺炎', '疫苗', '黃柏維']",udn video,680,20,0,0,6
49,2021-06-18,台中長輩接種AZ疫苗6死 盧秀燕：死亡率有一點偏高,"['COVID-19', '台中市', '後製中心', '採訪中心', '新冠肺炎', '施打率', '死亡率', '疫苗', '盧秀燕']",udn video,8045,64,8,0,72
50,2021-06-18,0618立法院紓困振興特別預算黨團協商-1,"['udn tv', '即時直播', '立院黨團協商', '紓困振興特別預算']",udn video,4930,58,8,0,8
51,2021-06-18,0618行政院記者會,"['udn tv', '即時直播', '羅秉成政委']",udn video,5188,15,5,0,11
52,2021-06-18,台中到宅施打疫苗 盧秀燕：每瓶拚6小時打11長者,"['到府施打', '台中', '後製中心', '採訪中心', '新冠肺炎', '疫苗', '盧秀燕']",udn video,450,13,1,0,3
53,2021-06-18,賓士2段式左轉停斑馬線上 網虧：機車騎太久了？,"['兩段式左轉', '台中', '台灣大道', '待轉區', '後製中心', '斑馬線', '汽車', '行人穿越道', '賓士']",udn video,749,17,1,0,5
