,publishedAt,title,tags,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
147,2021-06-18,"不避中國領空！24萬莫德納疫苗抵台  美國亞太助卿拋與台灣討論""代工疫苗""合作 鍾年晃估配發數量喊話柯市府：這次別再說突襲│廖筱君主持│【新台灣加油 完整版】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '中國', '領空', '莫德納疫苗', '美國', '亞太助卿', '代工疫苗', '柯市府', '突襲']",三立LIVE新聞,59508,609,130,0,207
148,2021-06-18,"觀光旅遊受疫情衝擊！業者拋""國內旅行泡泡""自救 憂""篩陰證明有疑慮""│記者 古芙仙 朱俊傑 涂永全│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '觀光', '旅遊', '疫情', '衝擊', '旅行泡泡', '篩陰證明']",三立LIVE新聞,2870,7,19,0,16
149,2021-06-18,"AZ疫苗開打後累計已42人猝死！AZ疫苗""無華人臨床試驗"" 長者接種猝死究因 醫師曝施打疫苗恐只是間接因素│記者 吳幸樺 王群賀│【新聞深一度】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', 'AZ疫苗', '猝死', '接種', '長者', '間接因素', '慢性病']",三立LIVE新聞,11829,52,28,0,112
150,2021-06-18,"球后戴姿穎阿嬤也呼籲一定要來打！99歲高雄大寮阿嬤打完AZ疫苗後喊""能走能作菜"":接種後精神狀況很好│記者 古芙仙 田居達│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '高雄', '大寮', '球后', '戴姿穎']",三立LIVE新聞,4998,31,9,0,7
151,2021-06-18,"憲哥快篩買貴了嗎？砸3千萬買11萬劑 藥師曝快篩""價差大"" 官方採購""半價""│記者 張珈瑄 唐薏程│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '憲哥', '快篩', '藥師', '價差', '官方', '採購', '半價']",三立LIVE新聞,2045,5,20,0,6
152,2021-06-18,"台中后里長照機構遭疑""踩紅線""！爆替""未來員工""打疫苗 機構負責人稱：獲允可行│記者 張峻棟 陳政棟 王子瑜│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '台中', '后里', '長照機構', '踩紅線', '未來員工', '疫苗', '機構負責人']",三立LIVE新聞,1170,3,5,0,1
153,2021-06-18,"換冷氣冷媒卻突爆炸！冷氣工人""雙眼嚴重灼傷""...老師傅揭兩關鍵恐釀災│記者 蔡文淵 陳逸潔 沈明志│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '冷氣', '冷媒', '爆炸', '冷氣工人', '灼傷', '師傅']",三立LIVE新聞,13227,31,2,0,14
154,2021-06-18,"外媒直擊高端疫苗生產線！CNN記者喊感到""動力十足"" 國產疫苗可信度遭質疑 總經理陳燦堅:數據試驗都透明│記者 陳淮安│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '疫苗', '高端', 'CNN', '陳燦堅', '國產']",三立LIVE新聞,7480,72,43,0,57
155,2021-06-18,"#三立獨家 太傻眼！網購酒精噴霧槍竟變""玩具水槍"" 遭賣家封鎖求助無門 理化老師提醒""滅菌紫外線""勿照人體恐造成病變│記者 張哲豪 鄭遠龍│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '網購', '酒精噴霧槍', '玩具水槍', '賣家', '封鎖', '求助', '滅菌紫外線', '病變']",三立LIVE新聞,11254,43,3,0,11
156,2021-06-18,"美國.德國當推手！台積電獲台灣政府授權談BNT疫苗 晶圓+代工龍頭 台積電.鴻海聯手組""購苗國家隊""│記者 程彥豪 方柏丰│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '台積電', '鴻海', '授權', 'BNT', '晶圓', '代工', '龍頭', '國家隊']",三立LIVE新聞,11698,128,10,0,115
