publishedAt,title,tags,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2021-06-20,"真朋友！！中國利用""疫苗外交""做戰略佈局打壓台灣 美國拔刀相助無任何""政治要求""加倍贈台250萬劑莫德納疫苗打擊中國以行動支持台灣!│呂惠敏主持│【驚爆新聞線完整版】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '疫苗外交', '中國', '美國', '日本', '疫情', '武漢肺炎', '莫德納', '捐贈', 'G7', '政治要求']",三立LIVE新聞,21765,515,282,0,404
2021-06-20,"中美角力!美加碼贈疫苗對抗中國稱""不需附帶任何政治條件"" 政治疫情比實際疫情嚴重!│【新聞深一度】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '中美角力', '疫苗']",三立LIVE新聞,4649,84,16,0,57
2021-06-20,"#三立最新  台美友好! 感謝美國暖心贈疫苗!圓山.101點燈""A愛T""感謝助台抗疫│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '圓山', '101點燈', 'A愛T']",三立LIVE新聞,2241,86,5,0,29
2021-06-20,"憂印度delta變種病毒侵台! 醫籲:邊境人員先打莫德納 研究顯示""AZ保護力僅6成│記者 高華襄 李文勝│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '印度delta', '變種病毒', '莫德納']",三立LIVE新聞,7400,40,3,0,22
2021-06-20,振奮人心！ 陽明懷孕醫護日前確診 子宮上升壓迫肺部瀕臨缺氧！ 與院方討論後剖腹生產 最終慶幸母子均安！│記者 吳雅婷 胡克強│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '陽明懷孕', '醫護', '確診', '子宮', '缺氧', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情']",三立LIVE新聞,3476,22,3,0,5
2021-06-20,嚇壞了啦! 注射完疫苗雙腿佈滿紫紅色的血洞! 醫建議密集紅點速就醫│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '疫苗', '紫紅色']",三立LIVE新聞,1850,10,2,0,3
2021-06-20,"與高端都採""次蛋白技術""細節卻大不同? 曝Novavax疫苗效力逾9成! ""美日韓""已搶下訂採購│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '高端', '次蛋白技術', 'Novavax', '疫苗']",三立LIVE新聞,3261,23,5,0,8
2021-06-20,北農群聚染疫擴大 確診數上升至26人！ 後續匡列人數明顯下降 與慣例不符！ 雙北宣稱跨縣市合作 如今北農打臉？│記者 周楷 劉家偉│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '北農群聚', '染疫', '確診數']",三立LIVE新聞,5215,28,6,0,38
2021-06-20,有打才有用！ 台灣目前疫苗施打數約150萬劑 覆蓋率約6.4%! 欲“群體免疫”需再上升至7成 醫生評估“至少需要3200萬劑“│記者 馬郁雯 潘建樺│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'AZ疫苗', '高端', '莫德納', 'BNT', '嬌生', '科興', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離', '覆蓋率', '泰國', '越南', '日本', '韓國']",三立LIVE新聞,2449,20,5,0,12
2021-06-20,＃三立獨家 醫材設備商成孤兒... 挺第一線檢查.維修醫用器具 卻不在施打名單內！指揮中心回應“可請醫院造冊”│記者 凌毓鈞 顧元松│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'AZ疫苗', '高端', '莫德納', 'BNT', '嬌生', '科興', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離', '醫用設備', '葉克膜', '呼吸器', '維修', '造']",三立LIVE新聞,1291,7,0,0,3
2021-06-20,直播平台另類紓困！線上答題大撒百萬獎金｜三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲']",三立LIVE新聞,1695,0,0,0,1
2021-06-20,"大動作做給中國看!""政治疫情""比實際疫情嚴重! 美加碼贈疫苗阻中國疫苗外交企圖心│記者 周寧 李政道│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '政治疫情', '實際疫情', '疫苗']",三立LIVE新聞,16317,214,22,0,146
2021-06-20,"病毒量偏低回台沒被驗出來!台確診者""隱瞞去印度"" 入境澳門卻轉陽最高判8年│記者 鍾宇皓│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '確診者', '印度', '病毒量', '門', '入境']",三立LIVE新聞,30114,126,13,0,148
2021-06-20,解封憂復燃！台灣疫情逐漸趨緩 民眾疑能否適度恢復商業活動？ 柯文哲拋“不開口吃東西”場域優先 侯友宜態度保留！ 眾醫生意見分歧...│記者 周楷 劉家偉│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'AZ疫苗', '高端', '莫德納', 'BNT', '嬌生', '科興', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離', '解封', '電影院', '侯友宜']",三立LIVE新聞,5617,34,2,0,28
2021-06-20,近期豪雨不斷 南部出現淹水災情！台南因附近施工一整條巷子都淹水 高雄燕巢有孕婦受困拋錨車！ 氣象局：嚴防短時強降雨│記者 古芙仙 王紹宇 朱俊傑 邱紹揚│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '暴雨', '水災', '台南永康', '高雄燕巢', '大樹', '屏東', '大社', '鳳山', '水庫']",三立LIVE新聞,4062,26,2,0,6
2021-06-20,謝謝你! 美國250萬劑莫德納疫苗今抵台！ AIT處長.指揮官陳時中親自接機！ 蕭美琴徹夜緊盯疫苗上機 總統蔡英文直播致謝！│記者 程彥豪 黃大風 │【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '美國', '莫德納', '疫苗', 'AZ疫苗', '高端', 'BNT', '嬌生', '科興', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離', 'ait', '陳時中', '蕭美琴']",三立LIVE新聞,20874,269,202,0,270
2021-06-20,不能吃太胖！ 本土死亡個案其中一例研判因體重過重導致重症往生！ BMI越高發炎係數也提高 易引起血栓問題！ 醫生建議：多吃菜多運動│記者 黃昕晟 張綺云│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '胖', '體脂高', 'BMI', '血栓', '病變', '發炎', '青菜', '運動', '居家', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離']",三立LIVE新聞,2140,14,2,0,0
2021-06-20,台南某深色轎車疑似搶快 變換燈號時加速通過卻撞擊預備左轉轎車 連翻兩圈！ 嘉義箱型車搶紅燈撞飛小貨車 波及騎樓下員工！│記者 王紹宇 廖國雄 朱怡蓉│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '馬路如虎口', '行車安全', '交通號誌', '搶快', '台南', '嘉義', '闖紅燈']",三立LIVE新聞,9551,38,2,0,14
2021-06-20,轉頭觀望莫德納！ 接種後猝死案例頻傳 長者觀望緩打潮增加！ 陳時中鬆口表示“若疫苗足夠將放寬施打範圍與開放自選”！│記者 王韻筑 孟國華│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'AZ疫苗', '高端', '莫德納', 'BNT', '嬌生', '科興', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離']",三立LIVE新聞,2429,17,18,0,5
2021-06-20,AZ疫苗開打後頻傳猝死案例 今宣布其中9例皆是屬於原本就有的疾病所致？ 逝者家屬不忍親人挨刀不通報解剖 法醫稱“可從體表判斷” │記者 蔡駿琪 林佳融│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'AZ疫苗', '高端', '莫德納', 'BNT', '嬌生', '科興', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離', '猝死', '指揮中心', '法醫', '解剖']",三立LIVE新聞,2544,16,3,0,13
2021-06-20,桃園龍潭醫院爆感染！將比照“部桃”清零經驗擴大匡列 急診全喊卡！ 連11號出院病人也召回快篩 民眾憂“擔心傳染給家人”│記者 張昱傑 李文勝 許慧美│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '桃園', '部立', '龍潭', '清零', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離', 'AZ疫苗']",三立LIVE新聞,384,0,0,0,1
2021-06-20,確診.死亡數持續下滑 各縣市陸續出現＋0! 陳時中坦言“不會解封” 將滾動式調整低風險場域  解隔離前將恢復全面篩檢？！│記者 張昱傑 李文勝 許慧美│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'Z疫苗', '高端', '莫德納', 'BNT', '嬌生', '科興', '武漢肺炎', '新冠肺炎', 'covid-19', '疫情', '隔離', '解封', '死亡率', '確診數', '印度株']",三立LIVE新聞,7456,40,12,0,17
2021-06-20,想換錢卻GG了?! 洗錢越洗越黑竟成黑錢..物理老師解惑漂白水+金屬化學反應釀...建議消毒還是用酒精就好│記者 鍾帛均 張展誌│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '換錢', '洗錢', '黑錢', '物理老師']",三立LIVE新聞,4362,9,3,0,9
2021-06-20,疫情還看不到盡頭駕駛只剩基本薪! 國光客運減班50%! 北高30班次砍到剩8班│記者 蔡文淵 廖宜德│【LIVE大現場】20210620│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '基本薪', '國光客運', '北高']",三立LIVE新聞,2150,17,3,0,4
2021-06-20,"這下糗大了! 搶匪拿假鈔付款遭識破惱羞持刀搶按摩女 女子不甩疫情刊登""色情廣告""吸客遭開單│記者 凌毓鈞 顧元松│【LIVE大現場】20210620│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '搶匪', '假鈔付款', '惱羞', '色情廣告']",三立LIVE新聞,7059,39,7,0,13
