publishedAt,title,tags,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2021-06-20,美250萬劑疫苗抵台 蔡總統:感謝日、美 患難見真情,"['COVID-19', '三級警戒', '影像中心', '後製中心', '新冠肺炎', '日本', '疫苗', '美國', '蔡英文']",udn video,400,13,36,0,13
2021-06-20,日本公園傳激烈槍聲！巨鳥超特別招呼聲驚呆網,"['udn tv', 'udntv', 'udn.com', '聯合新聞', '聯合影音', '聯合報', 'udnnews', 'myudn']",udn video,536,11,0,0,1
2021-06-20,她給消防男友過生日被拒 學長代站崗成全小倆口,"['udn tv', 'udntv', 'udn.com', '聯合新聞', '聯合影音', '聯合報', 'udnnews', 'myudn']",udn video,234,4,0,0,0
2021-06-20,美250萬劑莫德納疫苗來了！陳時中親迎：滿滿感謝,"['AIT', 'COVID-19', '台美', '影像中心', '後製中心', '新冠肺炎', '桃園機場', '疫苗', '美國', '莫德納', '蕭美琴', '酈英傑', '陳時中']",udn video,513,17,14,0,16
2021-06-20,0620華航載運莫德納疫苗抵達桃園機場 陳時中督導卸載及後送,"['udntv', '即時直播', '莫德納疫苗', '華航', '陳時中', 'COVAX', '美國捐贈疫苗', '桃園機場']",udn video,6056,69,11,0,21
2021-06-20,0620蔡英文針對防疫工作發表談話,"['udn tv', '即時直播', '蔡英文', '防疫工作', '疫苗']",udn video,482,3,14,0,6
2021-06-20,0620高端疫苗召開重大訊息記者會,"['udntv', '即時直播', '高端疫苗', '重大訊息記者會', '櫃買中心', '第三期臨床試驗', '越南', '腸病毒 71 型疫苗', '國家衛生研究院', '申請藥證']",udn video,7759,81,43,0,63
2021-06-20,最快今晚滿水位！日月潭9蛙吃水 剩下4隻半,"['九蛙', '南投', '後製中心', '採訪中心', '日月潭', '水庫', '水情', '滿水位', '碼頭', '降雨']",udn video,94219,735,34,0,83
2021-06-20,0620侯友宜新北市疫情第三級警戒應變會議記者會,"['udn tv', '即時直播', '侯友宜', '新北市', '疫情第三級警戒記者會']",udn video,1485,50,6,0,2
2021-06-20,0620全台第三級警戒 疫情指揮中心記者會,"['udn tv', 'udntv', 'udn.com', '聯合新聞', '聯合影音', '聯合報', 'udnnews', 'myudn']",udn video,4194,38,7,0,2
2021-06-20,6/21起天氣更不穩 氣象局：鋒面靠近 雨區擴及北部,"['天氣動態', '強降雨', '影像中心', '後製中心', '氣象局', '淹水', '短暫陣雨', '豪雨', '鋒面', '雷雨']",udn video,28139,217,12,0,9
2021-06-20,雨後滾滾黃泥騎水上摩托車 2女子驚聲尖叫,"['大雨', '後製中心', '採訪中心', '積水', '鄭照新', '陳其邁', '韓國瑜', '驚聲尖叫', '高雄', '鳥松']",udn video,1294,25,1,0,11
2021-06-20,0620下周梅雨鋒面報到 氣象局天氣預報,"['udn tv', '即時直播', '中央氣象局', '梅雨鋒面', '天氣預報']",udn video,650,13,1,0,0
2021-06-19,創意發想讓16歲高齡毛孩練走路 暖飼主:牠讓我感受到幸福,"['udn tv', 'udntv', 'udn.com', '聯合新聞', '聯合影音', '聯合報', 'udnnews', 'myudn']",udn video,925,9,0,0,2
